EventId,EventTemplate,Occurrences
0,[instance: <*> Took <*> seconds to <*> <*> <*> instance.,2626
1,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,14336
2,"10.11.10.1 <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",49430
3,"[instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1313
4,[instance: 719832a5-1b99-41ab-81a2-4c9bc9c84e39] <*>,12
5,"[instance: <*> memory limit: 96258.00 MB, free: 95746.00 MB",1313
6,[instance: 719832a5-1b99-41ab-81a2-4c9bc9c84e39] Total <*> <*> <*> used: 0.00 <*>,2
7,"[instance: <*> <*> limit not specified, defaulting to unlimited",2626
8,[instance: <*> VM Stopped (Lifecycle Event),1314
9,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,1226
10,"Total usable vcpus: 16, total allocated vcpus: <*>",1226
11,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],1226
12,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,1226
13,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,9128
14,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",9128
15,[instance: <*> During sync_power_state the instance has a pending task <*> Skip.,2589
16,Creating event <*> for instance <*>,1313
17,[instance: <*> Took <*> seconds to <*> the instance on the hypervisor.,2625
18,"<*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>",13263
19,HTTP exception thrown: No instances found for any event,1312
20,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,384
21,[instance: 8713c735-099f-4b1b-b399-5ccc25faf8dc] <*>,12
